,area,centroid,mean_intensity,perimeter,row,column,circularity
1,2898,"(62.92132505175984, 2169.2477570738442)",0.6762107741647383,204.40916292848976,1,25,0.8715805411174702
2,2831,"(63.537265983751325, 1369.3588837866478)",0.6813888253994639,199.68124086713186,1,16,0.8922266678003101
3,2658,"(64.94168547780286, 1283.4168547780287)",0.6804319922099765,194.99494936611666,1,15,0.8784521604011665
4,3236,"(69.58961681087763, 1548.0030902348578)",0.6812319736299958,214.99494936611666,1,18,0.879755238808448
5,3160,"(67.94525316455696, 2080.804746835443)",0.6783097542814595,213.4802307403552,1,24,0.8713278983052338
6,2980,"(67.98590604026846, 1728.8456375838925)",0.6799934201868667,203.82337649086284,1,20,0.9014012264293373
7,3453,"(68.18158123370982, 1903.4147118447727)",0.6825448743065139,223.37972567696687,1,22,0.8695988081457772
8,2590,"(66.21544401544402, 3586.3486486486486)",0.6645499280793399,192.99494936611666,1,41,0.8738114688555348
9,2401,"(66.11286963765097, 837.7846730528946)",0.6719798123330966,185.095454429505,1,10,0.8806645547925086
10,3290,"(68.68632218844985, 1991.8753799392098)",0.6830264020501817,217.7228714274745,1,23,0.8721629934208724
11,2474,"(66.96079223928861, 663.9882780921585)",0.6689175265902643,186.2670273047588,1,8,0.8960610342171731
12,3016,"(71.16777188328912, 1459.430702917772)",0.6800657928954075,208.79393923933998,1,17,0.8693715524917432
13,2502,"(68.28737010391687, 570.4192645883294)",0.6707763201203742,186.50966799187808,1,7,0.9038460645370212
14,2423,"(66.99050763516303, 1103.114733801073)",0.6800482306005357,185.6812408671319,1,13,0.8831352476560193
15,2433,"(66.94245787094123, 1194.750102753802)",0.6820660364433484,186.16652224137044,1,14,0.8821629245176114
16,3045,"(68.73793103448276, 1812.8978653530378)",0.6759625229402106,207.7228714274745,1,21,0.8868058027906287
17,3088,"(70.04663212435233, 2258.7435233160622)",0.6703164685563344,209.23759005323592,1,26,0.8863550779169839
18,2852,"(69.00175315568022, 3496.1910939691443)",0.6745400544509529,201.40916292848976,1,40,0.883488571902681
19,2311,"(67.6425789701428, 3767.4019904803117)",0.6585655984592019,182.50966799187808,1,43,0.871842547133354
20,2302,"(69.25282363162468, 747.7315377932233)",0.6691794006916407,183.3380951166243,1,9,0.8606166696906116
21,2617,"(68.72067252579289, 925.3737103553688)",0.673030786636397,191.68124086713192,1,11,0.8950645614676327
22,2557,"(68.68596010950333, 1014.646851779429)",0.6747306509619881,190.40916292848976,1,12,0.8862676646884268
23,2374,"(67.73378264532435, 3674.305812973884)",0.6587954474123263,181.09545442950497,1,42,0.9096524209395684
24,2372,"(69.07166947723441, 306.34612141652616)",0.6479003405746785,184.50966799187808,1,4,0.8755607688547198
25,2492,"(71.25882825040128, 395.03852327447834)",0.6616781544078306,186.8528137423857,1,5,0.896930139430465
26,2436,"(70.1892446633826, 483.1498357963875)",0.6650133616665057,186.50966799187808,1,6,0.8800036024029511
27,2903,"(72.23940750947295, 1635.6572511195316)",0.674912362464793,201.58073580374355,1,19,0.897757098236718
28,2853,"(70.19453207150369, 2434.367332632317)",0.6693841364095586,200.16652224137044,1,28,0.894805713223213
29,2417,"(69.81257757550682, 2613.3682250724037)",0.6740441480688262,183.4386001800126,1,30,0.9026202221715224
30,2531,"(72.94705649940735, 219.26076649545635)",0.6352553822793441,190.2670273047588,1,3,0.8785671148102093
31,3281,"(73.60103626943005, 2347.1252666869855)",0.6749400888060191,214.65180361560903,1,27,0.8948433405525943
32,3082,"(73.25048669695003, 2525.389357560026)",0.6768205010751868,210.65180361560903,1,29,0.8727947686690367
33,2828,"(72.43069306930693, 3414.1757425742576)",0.6632193471447985,200.99494936611666,1,39,0.8796683773644047
34,2290,"(71.16855895196507, 3854.64192139738)",0.6543436938094015,180.61017305526642,1,44,0.8821875589651103
35,2275,"(71.01978021978022, 4032.610989010989)",0.629359189829778,181.4386001800126,1,46,0.8684241491742923
36,2522,"(72.95440126883426, 4120.660586835845)",0.6126992271928597,194.82337649086284,1,47,0.8349737351276701
37,2558,"(71.62392494136044, 3058.8287724784986)",0.6714114887550017,189.3380951166243,1,35,0.8966736285582011
38,3134,"(75.3873643905552, 44.23739629865986)",0.6161354905714679,234.3086578651014,1,1,0.7173517851727018
39,2205,"(71.9673469387755, 3235.0489795918365)",0.6555546663109688,175.92388155425118,1,37,0.8953005690139825
40,2808,"(76.6826923076923, 130.69195156695156)",0.6249329646388471,201.71677477306463,1,2,0.867207322247306
41,2235,"(70.37897091722596, 2700.886800894855)",0.669751283063561,177.6812408671319,1,31,0.8896193783161567
42,2315,"(74.55593952483801, 3941.6613390928724)",0.642888239529073,183.3380951166243,1,45,0.8654767985811319
43,1885,"(71.34748010610079, 2967.973474801061)",0.6592396109637488,160.61017305526642,1,34,0.9182799850345427
44,2403,"(74.91718684977111, 3322.918019142738)",0.6542655014565129,183.3380951166243,1,38,0.89837613260927
45,1924,"(72.57276507276508, 2877.097713097713)",0.6605132281602868,164.36753236814712,1,33,0.8949172127688575
46,1972,"(72.50963488843813, 3145.3286004056795)",0.6525553832080498,164.95331880577405,1,36,0.910740519267719
47,1722,"(73.52206736353078, 2790.2787456445994)",0.6543963927034229,154.36753236814712,1,32,0.9080945881636444
48,1962,"(154.65698267074413, 1374.0912334352702)",0.6814554975914933,165.09545442950497,2,16,0.9045626158170897
49,1968,"(153.8714430894309, 2785.7205284552847)",0.6782360911844414,164.0243866176395,2,32,0.9192171392998749
50,1908,"(154.37526205450735, 2254.14465408805)",0.679050026719283,164.0243866176395,2,26,0.8911922265163421
51,2038,"(155.70412168792933, 2875.51766437684)",0.6810791048509688,169.92388155425118,2,33,0.8869623875583693
52,2225,"(156.94112359550562, 3147.552359550562)",0.679508261731659,178.16652224137044,2,36,0.8808210274027479
53,1988,"(156.63782696177063, 311.20321931589535)",0.6587742139109164,164.8528137423857,2,4,0.9192497400733355
54,1955,"(155.57749360613812, 1194.7539641943733)",0.6853798706183241,162.61017305526642,2,14,0.9290973080103618
55,1656,"(153.5253623188406, 1466.237922705314)",0.6722932651321398,151.1959594928933,2,17,0.9103110733842568
56,2020,"(158.49653465346535, 579.3891089108911)",0.6745991069695204,167.4386001800126,2,7,0.9054199601225261
57,1880,"(156.1840425531915, 659.8547872340425)",0.6740300375469336,161.4386001800126,2,8,0.9064689802094145
58,1848,"(156.58603896103895, 748.9594155844156)",0.6752419149477974,162.2670273047588,2,9,0.8819648373502273
59,1698,"(156.16489988221437, 1817.5106007067138)",0.6638906210305088,154.71067811865476,2,21,0.8914704880559923
60,1914,"(156.91118077324973, 1989.1170323928945)",0.6741881287520233,164.36753236814712,2,23,0.8902658759041545
61,1807,"(156.16546762589928, 2430.7858328721636)",0.6791909458858254,159.68124086713186,2,28,0.8905539185799682
62,2087,"(156.87158600862483, 2611.5601341638717)",0.6830970433214013,169.4386001800126,2,30,0.9134980053488372
63,2092,"(159.6046845124283, 132.25430210325047)",0.6248416001199715,176.50966799187808,2,2,0.8437903380253001
64,1948,"(158.70071868583162, 840.1447638603696)",0.6793876071989371,166.95331880577402,2,10,0.8782308794262641
65,1938,"(157.65995872033022, 1013.9901960784314)",0.6826726562658086,163.78174593052023,2,12,0.9078887693626088
66,2111,"(159.9677877783041, 2702.4040738986264)",0.6810990052108006,171.4386001800126,2,31,0.9025699568157992
67,2274,"(160.49868073878628, 3055.5017590149514)",0.6835928742649214,178.50966799187808,2,35,0.8967612628064967
68,2191,"(159.29301688726608, 3326.219078046554)",0.6756069840076607,173.4386001800126,2,38,0.9152942249826481
69,1713,"(157.82661996497373, 1281.3292469352014)",0.6786809061044149,152.61017305526642,2,15,0.9242729803877174
70,1714,"(158.7485414235706, 2166.610851808635)",0.6736769853799162,156.0243866176395,2,25,0.8847808490056378
71,2246,"(160.84505788067676, 2968.3089937666964)",0.6833499205559339,176.50966799187808,2,34,0.9059049231380611
72,2701,"(163.13661606812292, 38.91003332099223)",0.6094286066888808,201.82337649086284,2,1,0.8332810644261043
73,1705,"(158.26510263929617, 928.9143695014662)",0.6747996089931574,156.095454429505,2,11,0.8793337343771945
74,1544,"(158.01878238341968, 2078.0511658031087)",0.6650055877273189,147.19595949289334,2,24,0.8954995714081446
75,1730,"(158.76820809248554, 2342.428323699422)",0.6734126714269523,154.95331880577402,2,27,0.9054285869296881
76,1587,"(157.66981726528041, 1729.6206679269062)",0.6674079839875459,148.12489168102783,2,20,0.9089305469240346
77,2215,"(163.30654627539502, 3231.3778781038372)",0.6786686141725313,177.3380951166243,2,37,0.8850738638316047
78,2110,"(162.17156398104265, 3588.936018957346)",0.6704990242542516,172.0243866176395,2,41,0.8960088172198515
79,2167,"(162.6095985233041, 4031.3751730503)",0.6360939945890678,175.4386001800126,2,46,0.8847457159861131
80,2311,"(163.0662051060147, 4115.997836434444)",0.6196842042745269,180.8528137423857,2,47,0.8878902143036614
81,1527,"(158.95350360183366, 1639.8742632612966)",0.6585153511306291,146.46803743153546,2,19,0.8944646392995662
82,1716,"(162.1853146853147, 2522.065268065268)",0.669409022350199,155.78174593052023,2,29,0.8885748434712301
83,2064,"(161.94476744186048, 3407.951065891473)",0.6718498252013984,169.4386001800126,2,39,0.9034307058169622
84,1952,"(162.0732581967213, 3499.1393442622953)",0.6698328511732562,164.2670273047588,2,40,0.9090523242399585
85,1806,"(160.85991140642304, 3942.437984496124)",0.6439450198684125,161.19595949289334,2,45,0.8734123060492259
86,2014,"(163.18570009930485, 489.6221449851043)",0.6747940884397453,169.1959594928933,2,6,0.8840754994313353
87,1838,"(162.31610446137105, 1104.11316648531)",0.6792890823358723,159.19595949289334,2,13,0.9113627828298722
88,1548,"(160.3688630490956, 1548.625322997416)",0.6653062775497797,146.71067811865476,2,18,0.9037688560413173
89,1845,"(162.57615176151762, 3676.158807588076)",0.6625559275200595,160.95331880577402,2,42,0.8949656406056403
90,2106,"(163.98860398860398, 3761.6035137701806)",0.6614919092043274,172.2670273047588,2,43,0.8917926978654035
91,1842,"(162.39685124864278, 3855.526601520087)",0.6518255945157649,163.6812408671319,2,44,0.8639759876161538
92,2124,"(165.6906779661017, 221.0795668549906)",0.647734574055611,171.19595949289334,2,3,0.9107042339152013
93,1574,"(162.4987293519695, 1903.7725540025413)",0.6594912424944565,146.71067811865476,2,22,0.918948436310745
94,2465,"(166.2474645030426, 4211.405679513185)",0.5919755001392037,191.50966799187808,2,48,0.8445889223337895
95,1806,"(165.33997785160577, 401.73477297895903)",0.6653551343017826,159.19595949289334,2,5,0.8954957485259789
96,2122,"(243.34024505183788, 1107.0626767200754)",0.6915100441684685,171.6812408671319,3,13,0.9047103451221993
97,2056,"(243.25389105058366, 1639.9761673151752)",0.6865491721980621,168.8528137423857,3,19,0.9061839591334626
