,area,centroid,mean_intensity,perimeter,row,column,circularity
1,3176,"(62.40018891687657, 2167.222921914358)",0.6873783770435126,210.99494936611666,1,25,0.8964916287023326
2,3089,"(66.30883781158951, 39.918420200712205)",0.6269736382736973,216.20815280171308,1,1,0.830392923691739
3,2646,"(61.82464096749811, 481.98110355253215)",0.6787396440057505,190.75230867899737,1,6,0.9138188198880208
4,2858,"(62.123163051084674, 1991.3261021693493)",0.6830691968879924,200.58073580374355,1,23,0.89267556730357
5,2996,"(62.91388518024032, 2524.3094125500666)",0.6816395717165371,206.06601717798213,1,29,0.8866228478904509
6,2924,"(63.68604651162791, 3234.90902872777)",0.6719803653335479,206.40916292848976,1,37,0.8624407867542981
7,2528,"(61.0996835443038, 661.6356803797469)",0.6770631670389674,187.92388155425118,1,8,0.8995451891758482
8,2582,"(61.01161890007746, 1368.6917118512781)",0.6866223174010115,189.3380951166243,1,16,0.9050865163945564
9,3300,"(65.4, 3412.3539393939395)",0.6738478906714201,215.23759005323595,1,39,0.8951329881976441
10,2634,"(62.934700075930145, 1725.2038724373576)",0.6827355695505234,193.09545442950497,1,20,0.8877313024777402
11,2857,"(63.65208260413021, 1903.3857192859643)",0.6857611508026382,199.82337649086284,1,22,0.899140413243995
12,2944,"(64.56283967391305, 2257.506453804348)",0.6790014919011083,202.75230867899737,1,26,0.8999451763358832
13,2903,"(65.32139166379608, 2789.051670685498)",0.6778032191174782,202.65180361560903,1,32,0.8882924137983984
14,3349,"(67.42818751866228, 3499.0892803822035)",0.6715425734342707,216.3086578651014,1,40,0.8994503730828215
15,3028,"(65.93725231175694, 3589.6033685601055)",0.669017276659673,207.4802307403552,1,41,0.8839186356889887
16,2272,"(59.999119718309856, 835.3107394366198)",0.6772196906931788,178.26702730475878,1,10,0.8984132453894884
17,2485,"(62.398390342052316, 1101.0426559356138)",0.6821020239081548,187.40916292848976,1,13,0.8891081993877817
18,2822,"(64.00318922749823, 2079.1233167965984)",0.6847667486555218,200.65180361560903,1,24,0.8808069600053331
19,2748,"(64.58515283842794, 2877.2263464337702)",0.6756157776065302,199.33809511662426,1,33,0.8690524430767181
20,2753,"(65.26080639302579, 3056.8939338903015)",0.6706295449527432,198.75230867899737,1,35,0.8757733216141004
21,2282,"(62.63409290096406, 746.3527607361963)",0.6707428983863484,179.4386001800126,1,9,0.890622697424432
22,2297,"(62.23465389638659, 1012.7966913365259)",0.6744432209104799,180.16652224137044,1,12,0.8892475316511349
23,2075,"(62.15325301204819, 1546.8101204819277)",0.6756097330498465,169.095454429505,1,18,0.9119354503565615
24,2631,"(64.3648802736602, 1814.1140250855187)",0.6778068429956552,191.33809511662426,1,21,0.9030833183737131
25,2709,"(65.40753045404209, 2967.516057585825)",0.6737946858329895,194.7523086789974,1,34,0.8975396426944344
26,2817,"(66.1537096201633, 3144.1473198438057)",0.6702471688000724,200.99494936611666,1,36,0.8762467535486308
27,2373,"(63.877370417193426, 3850.729456384324)",0.6522908868562175,182.50966799187808,1,44,0.8952325245986366
28,2316,"(63.105354058721936, 4028.1679620034542)",0.6355345592468421,182.58073580374355,1,46,0.8730487867660907
29,2168,"(63.06088560885609, 129.64667896678966)",0.6307810578105781,175.2670273047588,1,2,0.886887840303166
30,2472,"(64.65331715210355, 570.1828478964401)",0.676518180087569,186.50966799187808,1,7,0.8930085817488075
31,2293,"(63.33493240296555, 923.5739206279983)",0.6738513634847746,177.6812408671319,1,11,0.9127056977534439
32,2226,"(63.51347708894879, 1190.9326145552561)",0.6714444268273347,177.3380951166243,1,14,0.8894692645097753
33,2311,"(62.98485504110774, 1632.8697533535267)",0.6797634501658734,178.61017305526642,1,19,0.9103270063456163
34,3217,"(67.78023002797637, 2345.05408765931)",0.6861367612012165,210.89444430272832,1,27,0.908930437205085
35,2572,"(65.11430793157076, 2612.611586314152)",0.6730399780440948,192.50966799187808,1,30,0.8721189801319985
36,2670,"(66.4123595505618, 2698.003370786517)",0.674600866563854,192.99494936611666,1,31,0.9008017844958602
37,2709,"(65.98375784422296, 3675.6969361387964)",0.6594300769403368,194.99494936611666,1,42,0.8953073372937397
38,2430,"(64.92674897119342, 3765.0473251028807)",0.6554554990720568,183.6812408671319,1,43,0.9050790834279413
39,2263,"(63.39593460008838, 3937.3225806451615)",0.646674118166931,180.16652224137044,1,45,0.8760849647916927
40,2230,"(63.50762331838565, 4116.993721973095)",0.6192227204783258,179.6812408671319,1,47,0.8679790656943291
41,2034,"(62.94051130776794, 306.2866273352999)",0.6565465517573794,169.68124086713192,1,4,0.8877550462599065
42,2261,"(64.46704997788589, 394.2282176028306)",0.6703818369453044,178.0243866176395,1,5,0.896502345631225
43,2247,"(63.606141522029375, 1280.3604806408546)",0.6707557789470929,178.50966799187808,1,15,0.8861137016386096
44,2336,"(63.7298801369863, 1456.4884417808219)",0.6762674590384099,181.095454429505,1,17,0.8950918514384293
45,2601,"(65.70011534025375, 2433.37908496732)",0.6715290499129294,189.3380951166243,1,28,0.9117467192650043
46,2081,"(65.06775588659299, 218.2311388755406)",0.6466574327953191,173.09545442950497,1,3,0.8727917204326237
47,2712,"(70.33075221238938, 3320.967920353982)",0.6689542483660131,193.92388155425118,1,38,0.9062269189674619
48,2674,"(70.40276738967839, 4206.076290201945)",0.6135817677856483,199.40916292848976,1,48,0.8450473537007229
49,2239,"(147.29656096471638, 1187.7833854399285)",0.6855546506230898,176.26702730475878,2,14,0.905569521101854
50,2002,"(144.33966033966033, 1640.082917082917)",0.6797006914653972,165.19595949289334,2,19,0.9218814911971365
51,1915,"(144.5028720626632, 2258.1942558746737)",0.6697895868530179,163.68124086713192,2,26,0.8982160783305829
52,1992,"(146.5632530120482, 130.0617469879518)",0.6223639656665878,172.6101730552664,2,2,0.840168553083227
53,2033,"(146.8524348253812, 1010.9906542056075)",0.6797623525553852,168.50966799187808,2,12,0.899699743811401
54,1766,"(145.28425821064553, 308.5135900339751)",0.6516177025736682,156.71067811865476,2,4,0.9036565138417719
55,1726,"(145.71031286210894, 1813.5417149478562)",0.6728512030536433,156.6101730552664,2,21,0.8843225844633327
56,2599,"(151.81916121585226, 39.619084263178145)",0.6213596481301255,194.40916292848976,2,1,0.8641371632367054
57,1999,"(147.44272136068034, 1991.6538269134567)",0.6767187515326291,165.19595949289334,2,23,0.9205000504011367
58,2026,"(148.19002961500493, 2611.07847976308)",0.6713818400015485,167.19595949289334,2,30,0.9107469996109189
59,1811,"(147.14688017669795, 2703.9723909442296)",0.6679291042756141,160.95331880577405,2,31,0.8784730488546418
60,2023,"(147.1151754819575, 2789.296094908552)",0.6706948523353979,167.6812408671319,2,32,0.9041423008868154
61,2159,"(148.8610467809171, 2877.567855488652)",0.6704084134811868,173.09545442950497,2,33,0.9055056820826692
62,2028,"(148.81607495069034, 3145.360453648915)",0.667906176277217,167.4386001800126,2,36,0.9090057817467737
63,1601,"(146.85446595877576, 1279.3229231730168)",0.6663874294252367,148.95331880577402,2,15,0.9067776928222765
64,1084,"(142.2619926199262, 1463.2905904059041)",0.6545148686780986,123.63961030678928,2,17,0.8910947625660591
65,1745,"(147.50773638968482, 1550.2372492836676)",0.6734378335861565,156.61017305526642,2,18,0.8940573058450261
66,1924,"(148.1081081081081, 2436.7884615384614)",0.6693856752680283,164.61017305526642,2,28,0.8922808837343755
67,2028,"(149.1429980276134, 3322.8141025641025)",0.6631995204393395,169.4386001800126,2,38,0.8876731935062011
68,2018,"(149.6848364717542, 1902.3434093161545)",0.6789890981169475,167.4386001800126,2,22,0.9045235047164643
69,1526,"(146.91874180865005, 2076.300786369594)",0.6648909104926374,146.71067811865476,2,24,0.8909245958133398
70,1831,"(148.13107591480065, 2169.3129437465864)",0.6707702851757853,158.61017305526642,2,25,0.9146103893881936
71,2160,"(150.73425925925926, 2344.241203703704)",0.6748674655047204,173.2670273047588,2,27,0.9041318456771841
72,2050,"(150.66926829268291, 3407.1082926829267)",0.6630569105691057,172.6812408671319,2,39,0.8639197520272606
73,2091,"(151.10521281683404, 3585.2912482066)",0.6599900601082135,170.8528137423857,2,41,0.9001598245285901
74,1713,"(148.96730881494454, 3935.995913601868)",0.6417842793860101,153.53910524340094,2,45,0.9131228614951064
75,2032,"(151.45620078740157, 2521.910433070866)",0.6745445422263393,170.02438661763952,2,29,0.8833059057550007
76,1919,"(150.75664408546118, 4030.8973423658153)",0.6336919760087464,167.4386001800126,2,46,0.8601489621163998
77,1190,"(146.61764705882354, 576.2033613445378)",0.645836216839677,127.39696961966999,2,7,0.9213796801609492
78,1344,"(146.75669642857142, 656.610119047619)",0.6561070261437908,137.53910524340094,2,8,0.8928052662167598
79,1396,"(146.91045845272205, 746.961318051576)",0.6570256755997528,138.71067811865476,2,9,0.911749413340493
80,1311,"(147.55072463768116, 932.1899313501144)",0.6583927850316328,136.46803743153546,2,11,0.8846075951116651
81,1326,"(146.8446455505279, 1728.389894419306)",0.6605211013515512,135.88225099390857,2,20,0.902459919144942
82,2094,"(152.487106017192, 3056.7129894937916)",0.6676067943891979,171.4386001800126,2,35,0.8953015109295517
83,1697,"(149.82380671773717, 3235.975250441956)",0.6608547956601616,152.95331880577402,2,37,0.9115361499680789
84,2311,"(153.3271311120727, 4113.405452185201)",0.6216220802470708,182.8528137423857,2,47,0.868573378392593
85,2502,"(154.7601918465228, 4207.773381294964)",0.614172191658438,189.6812408671319,2,48,0.8738731691284758
86,1583,"(149.38534428300696, 1365.3468098547062)",0.6678978856229795,147.78174593052023,2,16,0.910854886718474
87,1995,"(152.9874686716792, 3496.335338345865)",0.6618664307828395,166.6101730552664,2,40,0.9031288859061679
88,1924,"(151.5852390852391, 3763.2006237006235)",0.6547817047817048,163.53910524340094,2,43,0.9040067996468889
89,1714,"(151.28238039673278, 217.16977829638273)",0.6376827510467431,155.53910524340094,2,3,0.8903104870772551
90,1287,"(148.75213675213675, 835.4700854700855)",0.6551274433627375,135.78174593052023,2,10,0.877214160203203
91,1815,"(152.9366391184573, 2974.1575757575756)",0.6665435099659697,157.78174593052023,2,34,0.916163485379091
92,1270,"(149.2023622047244, 395.03385826771654)",0.6457403118727806,133.29646455628165,2,5,0.8982067688621052
93,1533,"(150.76973255055447, 1100.7938682322244)",0.6636557819474821,144.71067811865476,2,13,0.9199216958741051
94,1801,"(153.211549139367, 3853.691837867851)",0.650542726807547,158.95331880577402,2,44,0.8957449672860015
95,1896,"(154.95147679324896, 3674.346518987342)",0.6560478199718706,163.1959594928933,2,42,0.8946010281993205
96,1213,"(150.67683429513602, 481.9018961253092)",0.6452903997542958,129.53910524340094,2,6,0.9083827510739447
97,2066,"(233.1374636979671, 1106.3818973862537)",0.6858056678624984,168.2670273047588,3,13,0.9169425716974056
98,2215,"(234.24018058690746, 1545.2997742663656)",0.6888841676625505,175.09545442950497,3,18,0.9078912931463325
99,2202,"(235.78247048138056, 1638.791553133515)",0.6767074495556623,176.26702730475878,3,19,0.8906047724279957
100,2213,"(235.8644374152734, 1992.292363307727)",0.6870258632146938,174.8528137423857,3,23,0.9095907331912771
101,2434,"(237.91207888249795, 1013.2358258011503)",0.6907954307441957,185.33809511662426,3,12,0.890432591802714
102,2172,"(236.2085635359116, 1725.3075506445673)",0.6864243671685986,172.8528137423857,3,20,0.9135173033835837
103,2075,"(236.03084337349398, 2170.5151807228917)",0.6818464446019371,169.19595949289334,3,25,0.9108523641112315
104,2106,"(235.98955365622032, 2344.886514719848)",0.6800290486564997,171.4386001800126,3,27,0.9004321786139617
105,2214,"(236.95302619692865, 753.113369467028)",0.6862709672848362,179.09545442950497,3,9,0.8673978752795015
106,2230,"(237.4681614349776, 840.3089686098655)",0.6861496526861866,178.99494936611666,3,10,0.8746477301527734
107,2210,"(236.20316742081448, 1371.8067873303166)",0.6922722029988466,177.09545442950497,3,16,0.8854974388703889
108,2048,"(236.568359375, 2871.9814453125)",0.6776156556372549,169.09545442950497,3,33,0.9000693023278258
109,2340,"(238.19188034188033, 482.4717948717949)",0.6823864588570471,179.6812408671319,3,6,0.910794176558175
110,2225,"(237.77573033707864, 1191.2759550561798)",0.687485349195858,175.09545442950497,3,14,0.9119901251695666
111,2169,"(237.3171968649147, 1282.1881051175658)",0.6821974525171987,174.2670273047588,3,15,0.897509326270708
112,1860,"(235.66935483870967, 2525.1059139784948)",0.6739363272190596,159.78174593052023,3,29,0.9155213647003391
113,2157,"(237.89847009735743, 2790.7190542420026)",0.6798531002572564,172.0243866176395,3,32,0.9159673074612416
114,1851,"(236.57698541329012, 2961.9259859535387)",0.6721242359720765,159.19595949289334,3,34,0.9178087655158289
115,2202,"(238.05994550408718, 4119.758855585831)",0.6309860910758491,175.4386001800126,3,47,0.8990355637293129
116,2843,"(240.4287724234963, 4207.534646500176)",0.6194492147896795,208.06601717798213,3,48,0.8252478771496409
117,2814,"(242.43532338308458, 37.64001421464108)",0.6300751146229636,200.65180361560903,3,1,0.8783099877586845
118,1856,"(236.6530172413793, 660.5511853448276)",0.6759444726166328,160.36753236814712,3,8,0.9068906882454003
119,2200,"(239.24681818181818, 927.7177272727273)",0.6871158645276292,174.50966799187808,3,11,0.9078070691842812
120,1993,"(238.12092323130958, 2082.337681886603)",0.6747459244611039,165.19595949289334,3,24,0.9177371688091372
121,1948,"(238.27772073921972, 3758.2489733059547)",0.6647340661110439,165.19595949289334,3,43,0.8970155568691417
122,1142,"(232.7215411558669, 399.14973730297726)",0.6416057140894887,125.88225099390856,3,5,0.9056220068207508
123,1959,"(238.69218989280245, 1906.874425727412)",0.682040656997868,165.19595949289334,3,22,0.9020808397878073
124,1855,"(237.8398921832884, 2258.6469002695417)",0.677978965170974,160.2670273047588,3,26,0.9075392459382754
125,1897,"(238.48444913020558, 2702.5392725355823)",0.6769760302645044,161.78174593052023,3,31,0.9107898014873222
126,2017,"(239.39067922657412, 3317.357461576599)",0.6717100722291891,170.8528137423857,3,38,0.86830337927985
127,2118,"(239.5321057601511, 3406.965061378659)",0.6727693532559389,170.0243866176395,3,39,0.920689915545813
128,1361,"(236.03159441587067, 305.1528288023512)",0.645378974514126,137.05382386916236,3,4,0.9105120024490091
129,1885,"(238.5161803713528, 2440.348541114058)",0.6753606906953763,161.19595949289334,3,28,0.9116180492263515
130,2001,"(241.5192403798101, 568.0889555222388)",0.6770163937639022,168.50966799187808,3,7,0.8855382131660666
131,2063,"(241.19098400387784, 2611.213281628696)",0.6786822921121916,169.6812408671319,3,30,0.9004123207641043
132,2009,"(241.1866600298656, 3231.756097560976)",0.6743380278940845,166.36753236814712,3,37,0.9121214116545062
133,1707,"(238.9302870533099, 3845.4469830111307)",0.6558002228425055,154.29646455628165,3,44,0.9010137840604008
134,1501,"(238.33844103930713, 220.69220519653564)",0.6341236561246751,144.46803743153546,3,3,0.9037472945668887
135,1849,"(240.28610059491618, 1814.3710113574905)",0.6797633060795979,158.95331880577402,3,21,0.9196182368194429
136,2050,"(242.0639024390244, 3056.620975609756)",0.6821960784313725,167.4386001800126,3,35,0.9188667912134547
137,1933,"(240.98137609932746, 3145.1665804449044)",0.6704725966951706,161.78174593052023,3,36,0.9280741625065861
138,1681,"(239.21594289113622, 4032.926234384295)",0.6330172283071467,154.6101730552664,3,46,0.8836930612188499
139,1739,"(240.80736055204142, 128.03967797584818)",0.6286100869329905,156.71067811865476,3,2,0.8898407007762409
