"condition","interactor","sorbitol","n_greater","perc_greater","n_lower","perc_lower"
"DMSO","Hog1",0,2,0.740740740740741,0,0
"DMSO","Sho1",0,5,1.99203187250996,9,3.58565737051793
"DMSO","Hog1",1,8,2.7681660899654,2,0.69204152249135
"DMSO","Sho1",1,2,0.743494423791822,12,4.46096654275093
"MTX","Hog1",0,0,0,0,0
"MTX","Sho1",0,29,11.5537848605578,153,60.9561752988048
"MTX","Hog1",1,0,0,0,0
"MTX","Sho1",1,25,9.29368029739777,178,66.1710037174721
