original_column,original_row,Gene,column,row,q,target
22,3,YGL060W,43,5,A,Sho1
22,4,YDL065C,43,7,A,Sho1
22,5,YCR088W,43,9,A,Sho1
22,6,YEL015W,43,11,A,Sho1
22,7,YNL094W,43,13,A,Sho1
22,8,YGL206C,43,15,A,Sho1
22,9,YAL041W,43,17,A,Sho1
22,10,YCR002C,43,19,A,Sho1
22,11,YJL201W,43,21,A,Sho1
22,12,YJR076C,43,23,A,Sho1
22,13,YDL146W,43,25,A,Sho1
22,14,YLL048C,43,27,A,Sho1
22,15,YBR200W,43,29,A,Sho1
22,16,border,43,31,A,Sho1
23,1,border,45,1,A,Sho1
23,2,YMR139W,45,3,A,Sho1
23,3,YHR158C,45,5,A,Sho1
23,4,YGR210C,45,7,A,Sho1
23,5,YDR329C,45,9,A,Sho1
23,6,YGL153W,45,11,A,Sho1
23,7,YLR206W,45,13,A,Sho1
23,8,YMR109W,45,15,A,Sho1
23,9,YML016C,45,17,A,Sho1
23,10,YLR166C,45,19,A,Sho1
23,11,YJL155C,45,21,A,Sho1
23,12,YHR158C,45,23,A,Sho1
23,13,YJL128C,45,25,A,Sho1
23,14,YGL242C,45,27,A,Sho1
23,15,YNL098C,45,29,A,Sho1
23,16,border,45,31,A,Sho1
24,1,border,47,1,A,Sho1
24,2,border,47,3,A,Sho1
24,3,border,47,5,A,Sho1
24,4,border,47,7,A,Sho1
24,5,border,47,9,A,Sho1
24,6,border,47,11,A,Sho1
24,7,border,47,13,A,Sho1
24,8,border,47,15,A,Sho1
24,9,border,47,17,A,Sho1
24,10,border,47,19,A,Sho1
24,11,border,47,21,A,Sho1
24,12,border,47,23,A,Sho1
24,13,border,47,25,A,Sho1
24,14,border,47,27,A,Sho1
24,15,border,47,29,A,Sho1
24,16,border,47,31,A,Sho1
1,1,border,2,1,B,Sho1
1,2,border,2,3,B,Sho1
1,3,border,2,5,B,Sho1
1,4,border,2,7,B,Sho1
1,5,border,2,9,B,Sho1
1,6,border,2,11,B,Sho1
1,7,border,2,13,B,Sho1
1,8,border,2,15,B,Sho1
1,9,border,2,17,B,Sho1
1,10,border,2,19,B,Sho1
1,11,border,2,21,B,Sho1
1,12,border,2,23,B,Sho1
1,13,border,2,25,B,Sho1
1,14,border,2,27,B,Sho1
1,15,border,2,29,B,Sho1
1,16,border,2,31,B,Sho1
2,1,border,4,1,B,Sho1
2,2,YDL229W,4,3,B,Sho1
2,3,YBR102C,4,5,B,Sho1
2,4,YLL039C,4,7,B,Sho1
2,5,YBL071W-A,4,9,B,Sho1
2,6,YNL098C,4,11,B,Sho1
2,7,YNR006W,4,13,B,Sho1
2,8,YBL071W-A,4,15,B,Sho1
2,9,YLR196W,4,17,B,Sho1
2,10,YJL201W,4,19,B,Sho1
2,11,YER114C,4,21,B,Sho1
2,12,YGR178C,4,23,B,Sho1
2,13,YHR064C,4,25,B,Sho1
2,14,YDL226C,4,27,B,Sho1
2,15,YDL225W,4,29,B,Sho1
2,16,border,4,31,B,Sho1
3,1,border,6,1,B,Sho1
3,2,YLR191W,6,3,B,Sho1
3,3,YER114C,6,5,B,Sho1
3,4,YIL095W,6,7,B,Sho1
3,5,YOR204W,6,9,B,Sho1
3,6,YNL229C,6,11,B,Sho1
3,7,YOL147C,6,13,B,Sho1
3,8,YLR332W,6,15,B,Sho1
3,9,YLR196W,6,17,B,Sho1
3,10,YDR507C,6,19,B,Sho1
3,11,YGR037C,6,21,B,Sho1
3,12,YDR170C,6,23,B,Sho1
3,13,YMR216C,6,25,B,Sho1
3,14,YNL298W,6,27,B,Sho1
3,15,YBR109C,6,29,B,Sho1
3,16,border,6,31,B,Sho1
4,1,border,8,1,B,Sho1
4,2,YJL164C,8,3,B,Sho1
4,3,YER008C,8,5,B,Sho1
4,4,YBR234C,8,7,B,Sho1
4,5,YER166W,8,9,B,Sho1
4,6,YGL060W,8,11,B,Sho1
4,7,YBL007C,8,13,B,Sho1
4,8,YER155C,8,15,B,Sho1
4,9,YLR330W,8,17,B,Sho1
4,10,YAL041W,8,19,B,Sho1
4,11,YHR016C,8,21,B,Sho1
4,12,YLR324W,8,23,B,Sho1
4,13,YLR191W,8,25,B,Sho1
4,14,YOL100W,8,27,B,Sho1
4,15,YKR082W,8,29,B,Sho1
4,16,border,8,31,B,Sho1
5,1,border,10,1,B,Sho1
5,2,YJL151C,10,3,B,Sho1
5,3,YNL298W,10,5,B,Sho1
5,4,YHR064C,10,7,B,Sho1
5,5,YGL206C,10,9,B,Sho1
5,6,YAL005C,10,11,B,Sho1
5,7,YNL229C,10,13,B,Sho1
5,8,YBL085W,10,15,B,Sho1
5,9,YER008C,10,17,B,Sho1
5,10,YGL206C,10,19,B,Sho1
5,11,YBR102C,10,21,B,Sho1
5,12,YCR009C,10,23,B,Sho1
5,13,YKL051W,10,25,B,Sho1
5,14,YJL020C,10,27,B,Sho1
5,15,YDL113C,10,29,B,Sho1
5,16,border,10,31,B,Sho1
6,1,border,12,1,B,Sho1
6,2,YHR064C,12,3,B,Sho1
6,3,YHR016C,12,5,B,Sho1
6,4,YOR204W,12,7,B,Sho1
6,5,YIL062C,12,9,B,Sho1
6,6,YOR039W,12,11,B,Sho1
6,7,YJL042W,12,13,B,Sho1
6,8,YNL287W,12,15,B,Sho1
6,9,YBR053C,12,17,B,Sho1
6,10,YER155C,12,19,B,Sho1
6,11,YGL099W,12,21,B,Sho1
6,12,YKL051W,12,23,B,Sho1
6,13,YLR337C,12,25,B,Sho1
6,14,YDR329C,12,27,B,Sho1
6,15,YCR030C,12,29,B,Sho1
6,16,border,12,31,B,Sho1
7,1,border,14,1,B,Sho1
7,2,YNR007C,14,3,B,Sho1
7,3,YDL146W,14,5,B,Sho1
7,4,YMR109W,14,7,B,Sho1
7,5,YDR129C,14,9,B,Sho1
7,6,YBR109C,14,11,B,Sho1
7,7,YPR055W,14,13,B,Sho1
7,8,YDL019C,14,15,B,Sho1
7,9,YHR158C,14,17,B,Sho1
7,10,YML035C,14,19,B,Sho1
7,11,YBL085W,14,21,B,Sho1
7,12,YLR330W,14,23,B,Sho1
7,13,YER155C,14,25,B,Sho1
7,14,YLR314C,14,27,B,Sho1
7,15,YOR181W,14,29,B,Sho1
7,16,border,14,31,B,Sho1
8,1,border,16,1,B,Sho1
8,2,YDL225W,16,3,B,Sho1
8,3,YIR003W,16,5,B,Sho1
8,4,YAR014C,16,7,B,Sho1
8,5,YNL084C,16,9,B,Sho1
8,6,YBL071W-A,16,11,B,Sho1
8,7,YER149C,16,13,B,Sho1
8,8,YNL020C,16,15,B,Sho1
8,9,YDL019C,16,17,B,Sho1
8,10,YGR037C,16,19,B,Sho1
8,11,YJL155C,16,21,B,Sho1
8,12,YDL065C,16,23,B,Sho1
8,13,YFL010C,16,25,B,Sho1
8,14,YBR130C,16,27,B,Sho1
8,15,YBR130C,16,29,B,Sho1
8,16,border,16,31,B,Sho1
9,1,border,18,1,B,Sho1
9,2,YDL226C,18,3,B,Sho1
9,3,YLL040C,18,5,B,Sho1
9,4,YMR080C,18,7,B,Sho1
9,5,YNL307C,18,9,B,Sho1
9,6,YLR206W,18,11,B,Sho1
9,7,YER114C,18,13,B,Sho1
9,8,YPR055W,18,15,B,Sho1
9,9,YBR023C,18,17,B,Sho1
9,10,YMR216C,18,19,B,Sho1
9,11,YGL060W,18,21,B,Sho1
9,12,YLR337C,18,23,B,Sho1
9,13,YNL238W,18,25,B,Sho1
9,14,YLR314C,18,27,B,Sho1
9,15,YAL005C,18,29,B,Sho1
9,16,border,18,31,B,Sho1
10,1,border,20,1,B,Sho1
10,2,YGR210C,20,3,B,Sho1
10,3,YIR006C,20,5,B,Sho1
10,4,YLR314C,20,7,B,Sho1
10,5,YFR040W,20,9,B,Sho1
10,6,YLR330W,20,11,B,Sho1
10,7,YIR003W,20,13,B,Sho1
10,8,YDL019C,20,15,B,Sho1
10,9,YGR281W,20,17,B,Sho1
10,10,YPL246C,20,19,B,Sho1
10,11,YGR281W,20,21,B,Sho1
10,12,YGR281W,20,23,B,Sho1
10,13,YDL160C,20,25,B,Sho1
10,14,YNL255C,20,27,B,Sho1
10,15,YKL129C,20,29,B,Sho1
10,16,border,20,31,B,Sho1
11,1,border,22,1,B,Sho1
11,2,YKR001C,22,3,B,Sho1
11,3,YGL197W,22,5,B,Sho1
11,4,YBL017C,22,7,B,Sho1
11,5,YFL010C,22,9,B,Sho1
11,6,YJR083C,22,11,B,Sho1
11,7,YJL020C,22,13,B,Sho1
11,8,YDL225W,22,15,B,Sho1
11,9,YJL164C,22,17,B,Sho1
11,10,YAR042W,22,19,B,Sho1
11,11,YIR006C,22,21,B,Sho1
11,12,YGL252C,22,23,B,Sho1
11,13,YLL040C,22,25,B,Sho1
11,14,YMR192W,22,27,B,Sho1
11,15,YOR042W,22,29,B,Sho1
11,16,border,22,31,B,Sho1
12,1,border,24,1,B,Sho1
12,2,YLR025W,24,3,B,Sho1
12,3,YLR258W,24,5,B,Sho1
12,4,YBR177C,24,7,B,Sho1
12,5,YPR154W,24,9,B,Sho1
12,6,YBR234C,24,11,B,Sho1
12,7,YJL210W,24,13,B,Sho1
