,wt_count
1,6842
5,14504
6,6942
7,12293
10,5561
14,8673
15,5189
16,17373
19,5111
23,6725
24,3864
25,15226
28,5598
32,5974
33,5796
34,13758
40,9397
41,6437
42,6909
49,5489
50,7254
51,4426
53,5071
57,5142
58,6510
59,7945
61,4740
65,5850
66,5550
67,7344
